,inner_id,jid,choices
0,19,"TCDV,109,訴,230,20200904,1","['頭頸部', '胸部', '上肢', '下肢', '擦挫傷', '壓迫', '其他']"
1,24,"CTDV,107,訴,73,20181214,1","['頭頸部', '骨折', '內出血', '其他', '肇責 0/100']"
2,28,"TYEV,109,桃簡,1502,20201112,1","['下肢', '其他', '肇責 60/40']"
3,29,"KSDV,108,訴,997,20200618,1","['頭頸部', '臉', '擦挫傷', '拉傷', '腦震盪', '其他']"
4,41,"PCEV,107,板簡,1903,20190123,1","['頭頸部', '腹部', '上肢', '骨折', '內出血', '其他']"
5,50,"SLDV,109,訴,570,20210104,1","['上肢', '下肢', '其他', '骨折', '30-39歲']"
6,61,"TPDV,107,重訴,754,20190621,1","['頭頸部', '胸部', '上肢', '下肢', '骨折', '損傷', '內出血', '失能', '其他']"
7,63,"PTDV,108,訴,299,20191104,1","['頭頸部', '臉', '胸部', '下肢', '骨折', '撕裂傷', '壓迫', '其他']"
8,83,"SJEV,110,重簡,2251,20220901,2","['臉', '上肢', '下肢', '其他', '骨折', '撕裂傷', '損傷', '破缺損', '其他', '肇責 0/100', '25-29歲']"
9,106,"TCEV,110,中簡,3088,20220708,1","['頭頸部', '骨折', '損傷', '內出血', '其他']"
10,110,"TPDV,110,訴,412,20210407,1","['頭頸部', '臉', '胸部', '上肢', '骨折', '擦挫傷', '內出血', '其他']"
11,115,"TPDV,110,訴,844,20210915,1","['上肢', '下肢', '擦挫傷', '撕裂傷', '扭傷', '其他']"
12,122,"TCEV,109,中小,2802,20200722,1","['頭頸部', '胸部', '擦挫傷', '其他']"
13,160,"TCDV,110,簡,7,20220630,1","['上肢', '骨折', '其他', '40-49歲']"
14,235,"KSDV,110,簡,58,20211126,1","['頭頸部', '臉', '上肢', '下肢', '擦挫傷', '扭傷', '內出血', '瘀血', '其他', '肇責 0/100']"
15,245,"SLDV,107,重訴,267,20200302,1","['頭頸部', '腹部', '上肢', '下肢', '骨折', '損傷', '神經損傷', '衰竭', '失能', '其他', '肇責 0/100', '30-39歲']"
16,247,"SDEV,107,沙簡,268,20180829,1","['臉', '上肢', '下肢', '撕裂傷', '破缺損', '其他', '肇責 30/70']"
17,264,"HLEV,110,花簡,93,20210322,1","['骨盆', '上肢', '下肢', '擦挫傷', '其他']"
18,269,"TCEV,109,中簡,1327,20200828,1","['下肢', '撕裂傷', '其他', '肇責 30/70']"
19,273,"SCDV,109,重訴,42,20201007,1","['骨盆', '下肢', '骨折', '擦挫傷', '神經損傷', '其他', '肇責 30/70', '40-49歲']"
20,281,"TCDV,110,簡,106,20220223,3","['頭頸部', '下肢', '擦挫傷', '其他']"
21,289,"TNEV,110,南簡,126,20221013,1","['頭頸部', '背部', '下肢', '擦挫傷', '扭傷', '脫位', '其他', '40-49歲']"
22,292,"CCEV,110,潮簡,234,20210430,1","['頭頸部', '擦挫傷', '內出血', '其他', '肇責 30/70']"
23,308,"TCDV,107,訴,2774,20191107,1","['頭頸部', '上肢', '下肢', '擦挫傷', '腦震盪', '其他', '肇責 0/100', '30-39歲']"
24,331,"PCEV,107,板簡調,76,20180731,1","['其他', '骨折', '撕裂傷']"
25,347,"TYDV,107,訴,2063,20190104,2","['胸部', '上肢', '下肢', '其他', '擦挫傷', '損傷', '胸部損傷', '破缺損', '肇責 50/50', '25-29歲']"
26,361,"GSEV,107,岡簡,483,20190327,2","['胸部', '擦挫傷', '其他', '肇責 50/50']"
27,424,"PCDV,107,訴,170,20180530,2","['上肢', '下肢', '骨折', '其他', '肇責 30/70', '30-39歲']"
28,457,"TCEV,110,中簡,2153,20220427,1","['下肢', '其他', '骨折', '其他', '肇責 30/70']"
29,461,"HLDV,108,訴,171,20191114,2","['胸部', '腹部', '上肢', '下肢', '其他', '骨折', '擦挫傷', '損傷', '破缺損', '其他', '65歲以上(退休)']"
30,487,"TCEV,108,中簡,2822,20191224,1","['下肢', '擦挫傷', '其他', '肇責 70/30', '50-59歲']"
31,498,"TPDV,107,訴,4013,20181228,1","['臉', '腹部', '上肢', '下肢', '擦挫傷', '其他']"
32,517,"NHEV,111,湖簡,239,20220422,1","['頭頸部', '上肢', '下肢', '擦挫傷', '損傷', '其他', '肇責 60/40', '65歲以上(退休)']"
33,521,"SLDV,108,訴,1472,20201231,1","['頭頸部', '內出血', '其他', '肇責 60/40', '25-29歲']"
34,525,"CTDV,110,簡,61,20210430,1","['下肢', '擦挫傷', '撕裂傷', '其他', '肇責 0/100', '50-59歲']"
35,567,"SYEV,107,營簡,451,20181127,1","['下肢', '擦挫傷', '其他', '肇責 30/70', '50-59歲']"
36,575,"CYEV,110,嘉簡,773,20211214,1","['下肢', '骨折', '瘀血', '其他', '65歲以上(退休)']"
37,578,"KSDV,106,重訴,145,20190731,1","['胸部', '腹部', '上肢', '下肢', '骨折', '擦挫傷', '鈍傷', '損傷', '胸部損傷', '其他']"
38,585,"TYDV,108,訴,402,20190508,1","['背部', '上肢', '下肢', '骨裂', '擦挫傷', '其他', '肇責 20/80']"
39,604,"SCDV,107,訴,635,20190603,1","['頭頸部', '臉', '撕裂傷', '破缺損', '內出血', '其他', '肇責 50/50', '65歲以上(退休)']"
40,627,"PCEV,106,板簡,2822,20181012,1","['下肢', '擦挫傷', '其他']"
41,639,"ULDV,111,簡,8,20221031,1","['頭頸部', '胸部', '內出血', '其他', '肇責 0/100', '40-49歲']"
42,651,"KSDV,109,訴,829,20210819,1","['頭頸部', '胸部', '背部', '上肢', '下肢', '擦挫傷', '扭傷', '其他', '肇責 30/70']"
43,683,"TCDV,110,簡上附民移簡,66,20220722,1","['上肢', '下肢', '其他', '肇責 20/80']"
44,686,"CYDV,109,訴,850,20201228,1","['胸部', '下肢', '骨折', '死亡', '其他']"
45,718,"TPDV,106,原訴,37,20191031,1","['胸部', '腹部', '骨折', '神經損傷', '腦震盪', '其他', '65歲以上(退休)']"
46,730,"TPDV,106,訴,5132,20180628,1","['頭頸部', '上肢', '下肢', '擦挫傷', '損傷', '其他']"
47,742,"PTEV,110,屏簡,510,20220504,1","['下肢', '骨折', '壞死', '截肢', '其他', '肇責 30/70', '30-39歲']"
48,743,"TCDV,110,簡,174,20210730,1","['頭頸部', '臉', '其他', '擦挫傷', '破缺損', '內出血', '肇責 70/30']"
49,877,"HLDV,107,原重訴,1,20190329,1","['頭頸部', '臉', '骨折', '內出血', '其他', '肇責 20/80', '30-39歲']"
50,883,"ULDV,110,簡,1,20210812,1","['頭頸部', '胸部', '上肢', '下肢', '骨折', '擦挫傷', '撕裂傷', '胸部損傷', '其他', '肇責 0/100', '65歲以上(退休)']"
51,909,"LTEV,111,羅簡,19,20220503,1","['頭頸部', '臉', '胸部', '腹部', '背部', '骨盆', '上肢', '下肢', '其他', '骨折', '擦挫傷', '撕裂傷', '內出血', '肇責 30/70', '65歲以上(退休)']"
52,923,"GSEV,108,岡簡,224,20191113,1","['頭頸部', '臉', '下肢', '擦挫傷', '撕裂傷', '其他', '肇責 0/100']"
53,937,"TNEV,107,南簡,377,20200122,2","['背部', '骨盆', '上肢', '下肢', '擦挫傷', '扭傷', '脫位', '內出血', '瘀血', '其他', '肇責 40/60']"
54,946,"KLDV,108,基簡,987,20200619,1","['背部', '骨盆', '上肢', '擦挫傷', '其他']"
55,972,"CHDV,108,訴,1274,20200324,1","['下肢', '骨折', '脫位', '其他', '肇責 100/0']"
56,979,"CDEV,110,橋簡,723,20211110,1","['下肢', '骨折', '其他']"
57,980,"SCDV,106,重國,1,20190110,1","['頭頸部', '上肢', '損傷', '神經損傷', '其他', '肇責 20/80', '未滿18歲(高中以下)']"
58,992,"KSEV,110,雄簡,1267,20211207,1","['腹部', '骨盆', '擦挫傷', '脫位', '其他']"
